,Room type,Accommodates,Bedrooms,Bathrooms,Beds,Number of reviews,Review scores
VENICE,1.11022302463e-16,0.0485040105445,2.22044604925e-16,5.55111512313e-17,0.0804427546815,0.141386070922,0.051048504556
LA,0.0,0.0502962096093,1.11022302463e-16,1.66533453694e-16,2.22044604925e-16,0.0504164394896,0.103405244678
PARIS,0.0,1.11022302463e-16,2.08166817117e-17,2.77555756156e-17,1.11022302463e-16,0.0475421490777,0.027688718946
MADRID,0.0,0.0867815440435,5.55111512313e-17,1.11022302463e-16,0.074908163425,0.208343393862,0.0925327000947
DUBLIN,2.22044604925e-16,0.211907953965,0.0759059044939,0.0174838997282,0.141178706821,0.50134205107,0.20536385449
ATHENS,5.55111512313e-17,0.206981291308,0.0,1.66533453694e-16,0.110653888483,0.292098428088,0.0782980322558
BARCELONA,0.0,0.170254142389,0.0206961565925,1.11022302463e-16,0.137171263461,0.190893584431,0.116249751841
HK,0.100486550601,0.311010589872,0.253900478646,0.0111962598137,0.28716670763,0.520358162999,0.401899461063
ROME,1.11022302463e-16,0.033711942094,1.11022302463e-16,5.55111512313e-17,0.00579715650087,0.0946934581108,0.0325327655761
VANCOUVER,2.22044604925e-16,0.10092719851,0.14495777496,1.66533453694e-16,0.0857594482652,0.260099334134,0.110538477206
SYDNEY,2.22044604925e-16,0.128261667864,0.199643133145,0.016750785983,0.10466642951,0.38421881271,0.00549644825093
AMSTERDAM,2.22044604925e-16,0.0288279903763,0.0228143663278,1.11022302463e-16,0.0702601611909,0.409872021742,0.00288482463475
SF,2.22044604925e-16,0.0362489783136,5.55111512313e-17,1.66533453694e-16,2.22044604925e-16,0.100300938471,0.139783369077
MONTREAL,1.11022302463e-16,0.492073768134,0.0320561727922,0.0360481300895,0.212060925394,0.464853293307,0.141782705529
VIENNA,2.22044604925e-16,0.14042318004,5.55111512313e-17,2.22044604925e-16,0.117021920528,0.309391842059,0.029801461388
